group	gene	n_cells	fraction_detected	mean_log1p_CP10k
MG_LGS1	IRF2	879	0.12627986348122866	0.13790483753767754
MG_LGS1	REST	879	0.149032992036405	0.17105862725883536
MG_LGS1	YY1	879	0.15927189988623436	0.18479974534642327
MG_LGS2	SOX9	1101	0.2134423251589464	0.25523776443078816
MG_LGS2	SOX10	1101	0.009082652134423252	0.010075314634342497
MG_LGS2	NFIA	1101	0.7393278837420527	1.4104605673138977
MG_LGS2	NFIB	1101	0.779291553133515	1.4813971748932957
MG_LGS2	NFIC	1101	0.22615803814713897	0.2532980019565664
MG_LGS2	NFIX	1101	0.16893732970027248	0.186033340026094
MG_LGS2	LHX2	1101	0.26793823796548594	0.35360445589429207
MG_LGS2	RFX1	1101	0.14986376021798364	0.14407880590246624
MG_LGS2	RFX2	1101	0.1298819255222525	0.13572689147331402
MG_LGS2	RFX3	1101	0.7102633969118983	1.2162016292925248
MG_LGS2	FOS	1101	0.8383287920072662	1.767062726789046
MG_LGS2	FOSB	1101	0.24250681198910082	0.3286114186684589
MG_LGS2	JUN	1101	0.45958219800181654	0.7040102161924723
MG_LGS2	JUNB	1101	0.8837420526793823	2.0248112163547485
MG_LGS2	JUND	1101	0.2761126248864669	0.32889092777694984
MG_LGS2	CTCF	1101	0.09445958219800181	0.09488909501695722
MG_LGS2	RORA	1101	0.9909173478655767	3.188598893847444
MG_LGS2	NFIL3	1101	0.4786557674841054	0.7003040746257496
MG_LGS2	DBP	1101	0.08446866485013624	0.08559980841749695
MG_LGS2	CRX	1101	0.31244323342415986	0.368932653416021
MG_LGS2	OTX2	1101	0.22979109900090827	0.24773452953622635
MG_LGS2	PAX6	1101	0.3033605812897366	0.3830621645534377
MG_LGS2	NKX6-1	1101	0.0	0.0
MG_LGS2	NOTO	1101	0.0	0.0
MG_LGS2	VSX1	1101	0.013623978201634877	0.012029613268344319
MG_LGS2	MITF	1101	0.06357856494096276	0.07650308104664633
MG_LGS2	TFEB	1101	0.03905540417801998	0.037282070057315285
MG_LGS2	NRF1	1101	0.33787465940054495	0.40030380562212137
MG_LGS2	NFYA	1101	0.05631244323342416	0.052470544957688
